administration,Politics,8
africa,Politics,5
america,Politics,5
american,Politics,5
americans,Politics,5
anti,News,5
anti,Politics,5
article,News,8
australia,Politics,5
berniesanders,Politics,10
biden,Politics,10
bill,Politics,4
booster,Vaccines,10
boosters,Vaccines,10
business,Politics,5
businesses,Politics,4
california,Politics,6
canada,Politics,7
cancer,Health,8
cases,Politics,6
cases,News,7
cases,Health,4
cdc,Politics,9
cdcgov,Politics,10
certificate,Vaccines,6
china,Politics,8
chinese,Politics,9
cnn,News,10
congress,Politics,10
corporate,Politics,7
costs,Politics,3
county,Politics,4
covidisnotover,Social,7
covidisntover,Social,9
covidvaccine,Vaccines,10
covidvaccines,Vaccines,10
crisis,Social,5
crisis,Health,4
data,News,10
death,Health,6
death,News,8
deaths,News,4
deaths,Health,6
declarations,Politics,5
democrats,Politics,9
department,Politics,10
desantis,Politics,10
die,Health,4
died,News,8
died,Health,5
directedevolution,Social,7
disease,Health,7
diseases,Health,8
distancing,Lockdown,10
doctor,Health,8
doctors,Health,9
dose,Vaccines,9
doses,Vaccines,8
drug,Health,6
economic,Politics,9
economy,Politics,8
education,Politics,7
election,Politics,10
emergency,Health,5
epidemic,Health,8
evidence,News,8
evidence,Health,7
evidence,Politics,6
exemption,Lockdown,7
experts,News,8
fauci,Health,8
fauci,Politics,9
fda,Politics,10
federal,Politics,9
flu,Health,9
foxnews,News,10
france,Politics,5
gop,Politics,8
gov,Politics,9
government,Politics,10
govt,Politics,10
health,Health,10
healthbyjames,Social,7
healthcare,Politics,8
healthcare,Health,9
heart,Health,8
home,Lockdown,9
hospital,Health,8
hospitals,Politics,7
hospitals,Health,9
human,Social,8
immune,Health,8
immunity,Health,9
india,Politics,5
indonesia,Politics,5
infected,Politics,6
infected,News,5
infected,Health,9
infection,Health,9
infections,Health,9
inflation,Politics,9
influenza,Health,8
information,News,8
information,Politics,5
injections,Vaccines,7
jab,Vaccines,9
jabs,Vaccines,9
january,Politics,2
lives,Health,6
lockdown,Politics,5
lockdown,Lockdown,10
lockdowns,Politics,5
lockdowns,Lockdown,10
longcovid,Health,6
mandate,Lockdown,9
mandate,Politics,8
mandates,Lockdown,9
mandates,Politics,8
market,Politics,4
mask,Masks,10
masks,Politics,5
masks,Masks,10
maskup,Masks,10
media,Social,7
media,Politics,5
medical,Health,5
medicare,Politics,6
medicine,Health,8
ministry,Politics,8
misinformation,News,7
moderna,Vaccines,8
moderna_tx,Vaccines,5
money,Politics,5
mutations,Health,5
myocarditis,Health,5
national,Politics,5
news,News,10
officials,Politics,8
omicron,Health,5
passports,Vaccines,5
passports,Politics,7
patients,Health,7
petition,Politics,5
pfertility,Vaccines,6
pfizer,Vaccines,8
pfizerexposed,Politics,7
pharma,Politics,6
policies,Politics,7
policy,Politics,8
political,Politics,10
politics,Politics,10
population,Health,7
population,Politics,5
potus,Politics,10
president,Politics,8
price,News,5
project_veritas,Politics,8
projectveritas,Politics,8
propaganda,Politics,7
rate,Health,6
rate,Vaccines,5
rate,Politics,4
repmtg,Politics,10
report,News,4
republicans,Politics,7
research,News,5
respiratory,Health,7
restrictions,Politics,5
restrictions,Lockdown,7
risk,Lockdown,6
russia,Politics,8
safety,Politics,8
sars,Health,7
sarscov2,Health,8
scan,Health,6
schools,Politics,7
science,News,6
scientific,News,7
shot,Vaccines,8
shots,Vaccines,9
spread,Health,7
state,Politics,4
states,Politics,8
students,Politics,6
studies,News,7
study,News,6
symptoms,Health,8
test,Health,7
testing,Health,7
tests,Health,7
transmission,Health,7
travel,Lockdown,8
treatment,Health,7
treatments,Health,7
trump,Politics,10
truth,Social,8
uk,Politics,8
ukraine,Politics,8
unvaccinated,Vaccines,9
usa,Politics,3
vaccinated,Vaccines,8
vaccination,Vaccines,9
vaccinations,Vaccines,9
vaccine,Vaccines,9
vaccinedeaths,Vaccines,9
vaccines,Vaccines,9
vaccinesget,Vaccines,8
vaccins,Vaccines,9
vacinas,Vaccines,9
vacuna,Vaccines,9
vacunas,Vaccines,9
vaksinasi,Vaccines,9
variant,Health,7
variants,Health,7
vax,Vaccines,8
venezuela,Politics,7
veritas,Politics,8
via,News,8
virus,Health,8
viruses,Health,8
vote,Politics,7
war,Politics,6
wuhan,Politics,7
