name,number
India,9118
Japan,787
United Kingdom,9847
United States of America,8242
France,3912
Spain,6400
Brazil,6758
Uganda,447
Indonesia,3297
,1359
Canada,4774
Ukraine,229
Switzerland,333
Sri Lanka,248
Norway,84
Belgium,492
Venezuela,951
Nigeria,1531
China,380
Mexico,3976
Pakistan,416
Argentina,4042
Colombia,2368
Fiji,106
Dominican Republic,556
Zimbabwe,113
Ecuador,870
Turkey,1478
Malaysia,1741
Georgia,468
Australia,2359
Cuba,113
Ireland,1157
Montenegro,18
South Africa,1926
Bolivia,247
Saudi Arabia,648
Russia,1101
Chile,1285
Qatar,315
Rwanda,111
Italy,2396
United Arab Emirates,333
El Salvador,396
Ghana,556
Myanmar,86
Germany,1378
Costa Rica,418
Somalia,132
Panama,605
Portugal,342
Philippines,1514
Czechia,90
Netherlands,950
Paraguay,313
Senegal,108
Afghanistan,46
Taiwan,95
Denmark,141
Sweden,227
Niger,28
Finland,119
Belize,9
Serbia,81
Mongolia,356
Kyrgyzstan,37
Poland,340
Croatia,51
Kenya,554
New Zealand,406
Moldova,12
Peru,590
Jamaica,265
Austria,176
Burkina Faso,24
Cameroon,207
Nepal,144
Tunisia,65
Guatemala,323
Lebanon,101
Malawi,35
Botswana,194
Ethiopia,30
Uruguay,456
Haiti,195
Cyprus,68
Maldives,103
Brunei,43
Algeria,42
Oman,62
Belarus,67
Bulgaria,22
Barbados,37
Côte d'Ivoire,67
Vietnam,87
Armenia,57
South Korea,122
Trinidad and Tobago,78
Thailand,574
Morocco,41
Lithuania,13
Iraq,41
Guinea,23
Tanzania,115
Mauritius,13
Kuwait,24
Papua New Guinea,54
Lesotho,39
Greece,240
Isle of Man,14
Mali,19
Bangladesh,107
Latvia,64
Iceland,8
Zambia,218
The Bahamas,60
Egypt,141
Israel,204
Congo-Brazzaville,6
Andorra,24
Kazakhstan,45
Estonia,26
Nicaragua,167
Honduras,206
Cambodia,29
Luxembourg,18
Iran,51
Bahrain,34
Azerbaijan,23
Benin,27
Kosovo,17
Hungary,19
Guyana,16
Bermuda,15
Liberia,16
Jordan,20
Federated States of Micronesia,6
Namibia,73
Greenland,4
Djibouti,13
Mauritania,2
British Virgin Islands,1
Slovenia,27
Gibraltar,12
Turks and Caicos Islands,2
Faroe Islands,2
Togo,12
Democratic Republic of the Congo,8
Yemen,45
Singapore,15
Antigua and Barbuda,19
Slovakia,18
The Gambia,20
Angola,17
Gabon,20
Sudan,8
Banda Sea,4
Albania,31
Uzbekistan,20
Cayman Islands,8
Saint Lucia,14
Romania,41
Malta,22
Jersey,5
North Macedonia,17
Bosnia and Herzegovina,12
Seychelles,3
Guernsey,11
South Sudan,11
Solomon Islands,2
Vanuatu,3
Saint Vincent and the Grenadines,6
Bhutan,9
Libya,9
Comoros,5
Monaco,7
Laos,10
Eswatini,13
Sierra Leone,13
Syria,11
Tajikistan,2
Palestinian Territory,12
Saint Kitts and Nevis,2
Chad,8
Equatorial Guinea,4
Montserrat,4
São Tomé and Príncipe,2
Red Sea,1
East Timor,5
Cook Islands,1
Burundi,4
Asia,1
Madagascar,4
San Marino,2
Anguilla,1
Grenada,5
Mozambique,1
Prague,1
Dominica,1
Ascension and Tristan da Cunha,4
North Korea,1
Vatican City,1
Falkland Islands,1
Cape Verde,1
The Bronx,3
Suriname,5
Central African Republic,5
Andaman,1
